Age,DailyRate,Department,DistanceFromHome,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,StockOptionLevel,TotalWorkingYears,Attrition
30,330,72,1,68,2064,0,78,1,6,No
55,1229,82,4,77,4035,0,89,0,4,No
33,1099,82,4,77,3838,8,78,0,8,No
47,571,83,14,77,4591,3,89,1,11,No
28,289,82,2,83,2561,7,78,0,8,Yes
28,1423,82,1,68,1563,1,78,1,1,No
28,467,83,7,83,4898,0,78,0,5,No
49,271,82,3,77,4789,4,78,1,10,No
29,410,82,2,77,3180,0,78,3,4,No
28,1083,82,29,77,6549,1,78,2,8,No
33,516,82,8,83,6388,2,89,0,14,No
32,495,82,10,83,11244,2,78,0,10,No
54,1050,82,11,68,16032,3,78,1,26,No
29,224,82,1,83,2362,6,78,0,11,Yes
44,136,82,28,77,16328,3,78,1,24,No
39,1089,82,6,83,8376,4,78,0,9,No
46,228,83,3,77,16606,8,78,1,23,No
35,1029,82,16,83,8606,1,78,0,11,No
23,507,82,20,83,2272,0,78,0,5,No
40,676,82,9,83,2018,3,78,0,15,Yes
34,971,83,1,77,7083,1,89,0,10,No
31,561,82,3,83,4084,1,78,0,7,Yes
50,333,82,22,83,14411,1,89,0,32,No
34,1440,83,7,77,2308,0,89,1,12,No
42,1210,82,2,77,4841,4,78,1,4,No
37,674,82,13,77,4285,1,78,0,10,No
29,441,82,8,77,9715,3,78,1,9,No
33,575,82,25,83,4320,1,78,0,5,No
45,950,82,28,77,2132,4,78,1,8,No
42,288,82,2,77,10124,2,89,1,24,No
40,1342,83,9,77,5473,0,78,0,9,No
33,589,82,28,77,5207,1,89,1,15,No
40,898,72,6,83,16437,1,89,0,21,No
24,350,82,21,68,2296,0,78,3,2,No
40,1142,82,8,68,4069,3,89,0,8,No
45,538,82,1,68,7441,1,78,3,10,No
35,1402,83,28,77,2430,0,78,2,6,No
32,824,82,5,77,5878,3,78,1,12,No
36,1157,83,2,83,2644,3,89,0,7,No
48,492,83,16,68,6439,8,78,1,18,No
29,598,82,9,77,2451,6,78,2,5,No
33,1242,83,8,77,6392,2,78,1,8,No
30,740,83,1,77,9714,1,78,1,10,Yes
38,888,72,10,77,6077,3,78,0,10,No
35,992,82,1,83,2450,1,78,0,3,No
30,1288,83,29,77,9250,3,78,1,9,No
35,104,82,2,68,2074,1,89,1,1,Yes
53,607,82,2,77,10169,0,78,1,34,Yes
38,903,82,2,77,4855,4,78,2,7,Yes
32,1200,82,1,77,4087,4,78,1,9,No
48,1108,82,15,77,2367,8,78,1,10,No
34,479,82,7,83,2972,1,78,0,1,No
55,685,83,26,77,19586,1,78,1,36,No
34,1351,82,1,77,5484,9,78,1,9,No
26,474,82,3,77,2061,1,78,0,1,No
38,1245,83,14,77,9924,0,78,1,10,No
38,437,83,16,83,4198,2,78,0,8,No
36,884,83,1,83,6815,6,78,0,15,No
29,1370,82,3,83,4723,1,89,0,10,No
35,670,82,10,83,6142,3,89,0,10,No
39,1462,83,6,77,8237,2,78,1,11,No
29,995,82,2,68,8853,1,78,1,6,No
50,264,83,9,77,19331,4,89,1,27,No
23,977,82,10,77,2073,2,78,1,4,No
36,1302,82,6,77,5562,3,89,1,9,No
42,1059,82,9,83,19613,8,78,0,24,No
35,750,82,28,77,3407,1,78,2,10,No
34,653,82,10,77,5063,1,78,1,8,No
40,118,83,14,77,4639,1,78,1,5,No
43,990,82,27,68,4876,5,78,1,8,No
35,1349,82,7,77,2690,1,78,1,1,No
46,563,83,1,83,17567,1,78,0,27,No
28,329,82,24,77,2408,1,89,3,1,Yes
22,457,82,26,77,2814,1,89,0,4,No
50,1234,82,20,77,11245,2,89,1,32,No
32,634,82,5,77,3312,3,78,2,6,No
44,1313,82,7,68,19049,0,89,1,23,No
30,241,82,7,77,2141,1,78,1,6,No
45,1015,82,5,83,5769,1,89,0,10,No
45,336,83,26,77,4385,1,78,1,10,No
31,715,83,2,83,5332,7,78,0,10,No
36,559,82,12,77,4663,9,89,2,7,No
34,426,82,10,68,4724,1,78,1,9,No
49,722,82,25,77,3211,1,78,1,10,No
39,1387,82,10,77,5377,2,78,3,10,No
27,1302,82,19,68,4066,1,78,2,7,No
35,819,82,18,77,5208,1,78,0,16,No
28,580,82,27,68,4877,0,78,1,6,No
21,546,82,5,83,3117,1,78,0,3,No
18,544,83,3,83,1569,1,89,0,0,Yes
47,1176,72,26,77,19658,3,78,1,27,No
39,170,82,3,68,3069,0,78,1,11,No
40,884,82,15,77,10435,1,78,2,18,No
35,208,82,8,77,4148,1,78,1,15,No
37,671,82,19,77,5768,3,78,3,9,No
39,711,82,4,83,5042,0,78,0,10,No
45,1329,82,2,68,5770,1,78,2,10,No
38,397,82,2,77,7756,3,89,1,10,No
35,737,83,10,77,10306,9,78,0,15,Yes
37,1470,82,10,77,3936,1,78,1,8,No
40,448,82,16,83,7945,6,89,0,18,No
44,602,72,1,77,5743,4,89,0,14,No
48,365,82,4,77,15202,2,78,1,23,No
35,763,83,15,68,5440,6,89,2,7,Yes
24,567,82,2,83,3760,1,89,0,6,No
27,486,82,8,77,3517,7,78,0,5,No
27,591,82,2,83,2580,2,78,0,6,No
40,1329,82,7,83,2166,3,89,0,10,Yes
29,469,83,10,83,5869,9,78,0,8,No
36,711,82,5,77,8008,4,78,2,9,No
25,772,82,2,68,5206,1,78,2,7,No
39,492,82,12,77,5295,4,78,0,7,No
49,301,82,22,77,16413,3,78,2,27,No
50,813,82,17,68,13269,5,78,3,19,No
20,1141,83,2,83,2783,1,78,0,2,No
34,1130,82,3,68,5433,1,78,1,11,No
36,311,82,7,83,2013,2,78,0,15,No
49,465,82,6,77,13966,2,89,1,30,No
36,894,82,1,77,4374,0,78,0,4,No
36,1040,82,3,68,6842,6,78,1,13,No
54,584,82,22,77,17426,3,78,1,36,No
43,1291,82,15,77,17603,1,78,1,14,No
35,880,83,12,83,4581,3,89,0,13,Yes
38,1189,82,1,77,4735,7,78,2,19,No
29,991,83,5,68,4187,1,89,1,10,No
33,392,83,2,68,5505,1,78,2,6,No
32,977,82,2,68,5470,0,78,2,10,No
31,1112,83,5,77,5476,1,78,2,10,No
49,464,82,16,68,2587,4,89,1,17,No
38,148,82,2,83,2440,1,78,0,4,No
47,1225,83,2,68,15972,6,78,3,29,No
49,809,82,1,83,15379,4,78,0,23,No
41,1206,83,23,83,7082,3,89,0,21,No
20,727,83,9,83,2728,1,78,0,2,No
33,530,83,16,68,5368,1,89,1,7,No
36,1351,82,26,77,5347,6,78,2,10,No
44,528,72,1,68,3195,4,89,3,8,No
23,1320,82,8,83,3989,1,89,0,5,Yes
38,1495,82,4,77,3306,7,78,1,7,No
53,1395,82,24,77,7005,3,78,0,11,No
48,708,83,7,77,2655,2,89,2,19,Yes
32,1259,82,2,83,1393,1,78,0,1,Yes
26,786,82,7,83,2570,1,78,0,7,No
55,1441,82,22,68,3537,5,78,1,8,No
34,1157,82,5,77,3986,1,78,1,15,No
60,370,82,1,68,10883,3,78,1,19,No
33,267,82,21,77,2028,1,78,3,14,No
37,1278,83,1,68,9525,1,78,2,6,No
34,678,82,19,77,2929,1,78,0,10,No
23,427,83,7,68,2275,1,89,1,3,Yes
44,921,82,2,77,7879,1,89,1,9,No
35,146,82,2,83,4930,0,89,0,6,No
43,1179,83,2,77,7847,1,89,1,10,No
24,581,82,9,77,4401,1,78,1,5,No
41,918,83,6,83,9241,1,78,0,10,No
29,1082,82,9,77,2974,9,78,1,9,No
36,530,83,2,83,4502,3,78,0,17,No
45,1238,82,1,77,10748,3,78,1,25,No
24,240,72,22,77,1555,1,78,1,1,Yes
47,1093,83,9,77,12936,7,78,0,25,Yes
26,390,82,17,77,2305,1,78,3,3,No
45,1005,82,28,83,16704,1,78,0,21,No
32,585,82,10,77,3433,6,78,1,10,No
31,741,82,2,77,3477,1,78,1,6,No
41,552,72,4,77,6430,6,78,1,10,No
40,369,82,8,77,6516,2,89,1,18,No
24,506,82,29,68,3907,1,78,3,6,No
46,717,82,13,83,5562,6,78,0,19,No
35,1370,82,27,77,6883,2,78,1,17,No
30,793,82,16,77,2862,1,78,1,10,No
47,543,83,2,77,4978,7,78,1,4,No
46,1277,83,2,68,10368,4,89,1,13,No
36,1456,83,13,68,6134,5,89,3,16,Yes
32,964,83,1,83,6735,6,78,0,10,Yes
23,160,82,4,83,3295,1,78,0,3,No
31,163,82,24,83,5238,2,78,0,9,No
39,792,82,1,77,6472,1,89,1,9,No
32,371,83,19,77,9610,3,78,1,10,No
40,611,83,7,83,19833,1,78,0,21,No
45,176,72,4,77,9756,4,78,2,9,No
30,1312,82,2,83,4968,0,78,0,10,No
24,897,72,10,77,2145,0,78,1,3,No
30,600,72,8,68,2180,6,78,1,6,Yes
31,1003,83,5,77,8346,1,78,1,6,No
27,1054,82,8,83,3445,1,78,0,6,No
29,428,83,9,83,2760,1,78,0,2,Yes
29,461,82,1,83,6294,8,89,0,10,No
30,979,83,15,68,7140,2,78,1,12,No
34,181,82,2,77,2932,0,89,3,6,No
33,1283,83,2,83,5147,8,78,0,13,No
49,1313,83,11,83,4507,3,78,0,8,No
33,211,83,16,83,8564,2,89,0,11,Yes
38,594,82,2,77,2468,4,78,1,9,No
31,1079,83,16,77,8161,2,78,3,10,Yes
29,590,82,4,68,2109,1,78,1,1,No
30,305,82,16,77,5294,3,78,1,10,No
32,953,82,5,83,2718,2,78,0,12,No
38,833,82,18,77,5811,3,89,1,15,No
43,807,82,17,77,2437,9,89,1,6,Yes
42,855,82,12,68,2766,8,78,3,7,No
55,478,82,2,77,19038,8,78,3,34,No
33,775,82,4,68,3055,5,78,2,11,No
41,548,82,9,68,2289,1,78,2,5,No
34,1375,83,10,68,4001,1,89,1,15,No
53,661,82,1,77,12965,4,89,3,27,No
43,244,72,2,83,3539,0,78,0,10,No
34,511,83,3,83,6029,5,78,0,6,No
21,337,83,7,83,2679,1,78,0,1,Yes
38,1153,82,6,77,3702,1,78,1,5,No
22,1294,82,8,77,2398,1,89,0,1,Yes
31,196,83,29,77,5468,1,78,2,13,No
51,942,82,3,77,13116,2,78,0,15,No
37,589,83,9,77,4189,1,78,2,5,No
46,734,82,2,68,19328,7,89,1,24,No
36,1383,82,10,77,8321,7,89,1,15,No
44,429,82,1,68,2342,1,89,3,6,Yes
37,1239,72,8,68,4071,2,78,0,19,No
35,303,83,27,83,5813,1,89,0,10,Yes
33,867,82,8,77,3143,6,78,1,14,No
28,1181,82,1,77,2044,1,78,1,5,No
39,1253,82,10,83,13464,7,78,0,9,No
46,849,83,26,83,7991,8,78,0,6,No
40,616,82,2,77,3377,4,78,1,7,No
42,1128,82,13,77,5538,5,78,2,10,No
35,1180,82,2,68,5762,2,78,1,15,No
38,1336,72,2,68,2592,5,78,3,13,No
34,234,82,9,77,5346,4,78,1,11,Yes
37,370,82,10,83,4213,1,78,0,10,Yes
39,766,83,20,68,4127,2,78,1,7,No
43,343,82,9,83,2438,4,78,0,7,No
41,447,82,5,83,6870,3,78,0,11,No
41,796,83,4,68,10447,0,89,1,23,No
30,1092,82,10,83,9667,9,78,0,9,No
26,920,72,20,77,2148,0,89,0,6,Yes
46,261,82,21,77,8926,4,78,1,13,Yes
40,1194,82,1,68,6513,4,78,1,12,No
34,810,83,8,77,6799,1,78,2,10,No
58,350,83,2,68,16291,4,78,1,37,No
35,185,82,23,77,2705,0,78,1,6,No
47,1001,82,4,68,10333,8,89,1,28,No
40,750,82,12,68,4448,2,78,1,15,No
54,431,82,7,77,6854,4,78,1,14,No
31,1125,83,7,77,9637,2,78,2,9,No
28,1217,82,1,77,3591,1,78,1,3,No
38,723,83,2,77,5405,2,89,2,20,No
26,572,83,10,83,4684,1,78,0,5,No
58,1216,82,15,77,15787,2,89,0,23,No
18,1431,82,14,83,1514,1,78,0,0,No
31,359,72,18,77,2956,0,78,0,2,Yes
29,350,72,13,68,2335,4,89,3,4,Yes
45,589,83,2,77,5154,4,78,2,10,No
36,430,82,2,77,6962,4,89,1,15,No
43,1422,83,2,77,5675,1,78,1,7,No
27,1297,82,5,83,2379,0,89,0,6,No
29,574,82,20,77,3812,1,78,0,11,No
32,1318,83,10,83,4648,8,78,0,4,No
42,355,82,10,77,2936,3,78,2,10,No
47,207,82,9,83,2105,4,78,0,7,No
46,706,82,2,68,8578,3,78,1,12,No
28,280,72,1,68,2706,1,78,1,3,No
29,726,82,29,68,6384,8,78,2,11,No
42,1142,82,8,83,3968,4,78,0,8,No
32,414,83,2,83,9907,7,89,0,7,Yes
46,1319,83,3,68,13225,2,78,1,25,No
27,728,83,23,77,3540,1,78,1,9,No
29,352,72,6,77,2804,1,78,0,1,No
43,823,82,6,77,19392,7,78,0,21,No
48,1224,82,10,77,19665,4,78,0,29,No
29,459,82,24,83,2439,1,89,0,1,Yes
46,1254,83,10,77,7314,5,78,3,14,Yes
27,1131,82,15,77,4774,0,78,1,8,No
39,835,82,19,68,3902,8,78,3,7,No
55,836,82,2,77,2662,8,78,1,19,No
28,1172,83,3,77,2856,1,78,1,1,No
30,945,83,9,83,1081,1,78,0,1,Yes
22,391,82,7,83,2472,1,89,0,1,Yes
36,1266,83,10,77,5673,1,89,1,10,No
31,311,82,20,68,4197,1,78,1,10,No
34,1480,83,4,77,9713,2,89,3,9,No
29,592,82,7,83,2062,3,78,0,11,No
37,783,82,7,77,4284,5,89,1,16,No
35,219,82,16,77,4788,0,89,0,4,No
45,556,82,25,77,5906,0,78,2,10,No
36,1213,72,2,83,3886,1,78,0,10,No
40,1137,82,1,68,16823,2,78,1,22,No
26,482,82,1,77,2933,1,89,1,1,No
27,511,83,2,83,6500,0,78,0,9,No
48,117,82,22,68,17174,3,78,1,24,No
44,170,82,1,77,5033,2,78,1,10,No
34,967,82,16,77,2307,1,89,1,5,Yes
56,1162,82,24,83,2587,1,78,0,5,Yes
36,335,83,17,77,5507,2,78,2,12,No
41,337,83,8,77,4393,5,78,1,14,No
42,1396,82,6,77,13348,9,78,1,18,No
31,1079,83,10,68,6583,2,89,1,8,No
34,735,83,3,77,8103,3,89,0,9,No
31,471,82,4,68,3978,8,78,1,4,No
26,1096,82,6,77,2544,0,78,1,8,No
45,1297,82,1,83,5399,4,78,0,12,No
33,217,83,10,83,5487,1,78,0,10,No
28,783,83,1,77,6834,1,89,1,7,No
29,746,83,24,83,1091,1,78,0,1,Yes
39,1251,83,21,77,5736,6,78,1,10,No
27,1354,82,2,77,2226,1,78,1,6,No
34,735,82,22,77,5747,1,89,0,16,No
28,1475,83,13,83,9854,3,89,0,6,Yes
47,1169,82,14,77,5467,8,78,1,16,No
56,1443,83,11,77,5380,4,78,1,6,No
39,867,82,9,77,5151,1,78,1,10,No
38,1394,82,8,68,2133,1,89,1,20,No
58,605,83,21,77,17875,4,89,1,29,No
32,238,82,5,83,2432,3,89,0,8,Yes
38,1206,82,9,68,4771,2,78,2,10,No
49,1064,82,2,77,19161,3,78,0,28,No
42,419,83,12,68,5087,3,89,2,14,No
27,1337,72,22,77,2863,1,78,0,1,Yes
35,682,83,18,77,5561,0,78,1,6,No
28,1103,82,16,83,2144,1,78,0,5,No
31,976,82,3,68,3065,1,89,1,4,No
36,1351,82,9,77,2810,1,78,0,5,No
34,937,83,1,83,9888,1,78,0,14,No
34,1239,83,13,68,8628,1,78,1,9,No
26,157,82,1,83,2867,0,78,0,8,No
29,136,82,1,77,5373,0,78,1,6,No
32,1146,82,15,68,6667,5,78,1,9,No
31,1125,82,1,77,5003,1,78,0,10,No
28,1404,82,17,68,2367,5,78,1,6,Yes
38,1404,83,1,83,2858,4,78,0,20,No
35,1224,83,7,77,5204,1,89,0,10,No
27,954,83,9,83,4105,1,78,0,7,No
32,1373,82,5,83,9679,8,78,0,8,No
31,754,83,26,77,5617,1,89,0,10,Yes
53,1168,83,24,83,10448,6,89,0,15,Yes
54,155,82,9,77,2897,3,78,2,9,No
33,1303,82,7,68,5968,1,78,3,9,No
43,574,82,11,77,7510,1,78,1,10,No
38,1444,72,1,77,2991,0,89,1,7,No
55,189,72,26,77,19636,4,89,1,35,No
31,1276,82,2,68,1129,1,89,3,1,No
39,119,83,15,83,13341,0,78,0,21,No
42,335,82,23,83,4332,1,78,0,20,No
31,697,82,10,77,11031,4,78,1,13,No
54,157,82,10,83,4440,6,89,0,9,No
24,771,82,1,83,4617,1,78,0,4,No
23,571,82,12,83,2647,1,78,0,5,No
40,692,82,11,77,6323,1,78,1,10,No
40,444,83,2,77,5677,3,78,1,15,No
25,309,72,2,77,2187,4,78,0,6,No
30,911,82,1,77,3748,1,78,0,12,No
25,977,82,2,68,3977,6,89,1,7,No
47,1180,82,25,83,8633,2,78,0,25,No
33,1313,82,1,68,2008,1,78,3,1,No
38,1321,83,1,77,4440,0,78,2,16,No
31,1154,83,2,77,3067,0,78,1,3,No
38,508,82,6,77,5321,2,78,1,10,No
42,557,82,18,68,5410,6,89,1,9,No
41,642,82,1,77,2782,3,78,1,12,No
47,1162,82,1,77,11957,0,78,2,14,No
35,1490,82,11,77,2660,7,89,1,5,No
22,581,82,1,83,3375,0,78,0,4,No
35,1395,82,9,83,5098,1,78,0,10,No
33,501,82,15,77,4878,0,89,1,10,No
32,267,82,29,83,2837,1,78,0,6,No
40,543,82,1,77,2406,8,78,2,8,No
32,234,83,1,77,2269,0,78,1,3,No
39,116,82,24,83,4108,7,78,0,18,No
38,201,82,10,77,13206,3,78,1,20,No
32,801,83,1,77,10422,1,78,2,14,No
37,161,82,10,77,13744,1,89,1,16,No
25,1382,83,8,68,4907,0,89,1,6,No
52,585,83,29,68,3482,2,78,2,16,No
44,1037,82,1,83,2436,6,89,0,6,No
21,501,83,5,83,2380,1,89,0,2,No
39,105,82,9,83,19431,2,78,0,21,No
23,638,83,9,77,1790,1,78,1,1,Yes
36,557,83,3,77,7644,0,78,2,10,No
36,688,82,4,68,5131,7,78,3,18,No
56,667,82,1,68,6306,1,78,1,13,No
29,1092,82,1,77,4787,9,89,3,4,Yes
42,300,82,2,77,18880,5,78,0,24,No
56,310,82,7,77,2339,8,78,1,14,Yes
41,582,82,28,77,13570,0,78,1,21,No
34,704,83,28,77,6712,1,78,2,8,No
36,301,83,15,68,5406,1,78,1,15,No
41,930,83,3,68,8938,2,78,1,14,No
32,529,82,2,83,2439,1,78,0,4,No
35,1146,72,26,83,8837,1,89,0,9,No
38,345,83,10,77,5343,1,78,1,10,No
50,878,83,1,68,6728,7,78,2,12,Yes
36,1120,83,11,77,6652,4,78,1,8,No
45,374,83,20,83,4850,8,78,0,8,No
40,1322,82,2,83,2809,2,78,0,8,No
35,1199,82,18,77,5689,1,89,2,10,No
40,1194,82,2,77,2001,2,78,3,20,No
35,287,82,1,77,2977,1,78,1,4,No
29,1378,82,13,77,4025,4,89,1,10,No
29,468,82,28,83,3785,1,78,0,5,No
50,410,83,28,68,10854,4,89,1,20,Yes
39,722,83,24,77,12031,0,78,1,21,No
31,325,82,5,83,9936,0,78,0,10,No
26,1167,83,5,83,2966,0,78,0,5,No
36,884,82,23,77,2571,4,78,1,17,No
39,613,82,6,77,9991,4,78,1,9,No
27,155,82,4,77,6142,1,89,1,6,No
49,1023,83,2,77,5390,2,78,0,17,No
34,628,82,8,77,4404,2,78,0,6,No
