Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumCatalogPurchases,NumStorePurchases,MntTotal
44551,0,1,182,4,33,0,0,1,5,219
69508,1,0,824,32,162,42,32,4,11,1092
45204,1,0,30,11,25,29,1,1,4,96
72460,0,0,377,10,540,80,30,5,7,1037
77622,0,2,520,7,154,19,0,3,11,700
30732,1,0,155,1,25,0,1,1,4,182
63887,0,1,897,23,207,15,11,6,12,1153
42011,1,0,131,0,16,2,1,1,4,150
51369,0,1,297,7,79,0,11,2,4,394
51537,0,1,787,20,204,0,0,2,11,1011
79930,0,0,792,86,740,67,51,5,8,1736
34320,1,0,4,1,9,3,0,0,2,17
37070,1,1,231,7,137,4,15,1,8,394
81975,0,1,983,76,184,180,138,3,4,1561
38590,1,0,3,1,8,4,3,0,2,19
15033,0,0,0,4,5,6,0,0,3,15
62745,0,1,562,21,464,28,10,8,11,1085
22212,1,0,5,9,20,6,8,0,4,48
23661,1,0,18,0,4,0,0,0,3,22
79761,0,1,415,5,124,15,35,2,11,594
7500,1,0,5,3,10,12,7,1,3,37
73455,0,0,901,61,757,186,163,5,10,2068
64961,0,1,382,114,276,75,124,4,4,971
22804,1,0,14,1,7,2,1,0,2,25
73687,0,0,559,153,503,218,13,9,9,1446
61074,0,1,789,0,133,0,28,5,8,950
31686,1,1,11,0,5,0,0,0,3,16
80134,1,0,1218,16,272,104,0,3,6,1610
75027,0,1,925,64,179,133,12,4,6,1313
67546,0,0,864,134,768,150,38,10,5,1954
65176,0,1,960,28,183,220,70,6,6,1461
31160,1,0,16,3,25,6,1,0,3,51
29938,1,0,3,3,7,0,2,0,3,15
102692,0,0,168,148,444,32,172,9,13,964
26490,0,0,45,47,52,21,20,1,5,185
75702,1,1,650,28,353,45,42,6,11,1118
30899,1,0,24,0,8,0,0,0,3,32
63342,0,1,918,21,118,13,10,3,5,1080
45989,0,1,138,33,87,28,24,2,7,310
18701,1,1,12,4,2,10,6,0,4,34
40737,2,1,11,0,4,0,0,0,2,15
15287,1,0,1,2,8,4,3,1,2,18
69674,0,2,554,41,215,11,0,2,10,821
44159,1,0,167,2,62,24,13,1,6,268
37717,1,0,9,0,6,4,1,0,2,20
43776,1,1,177,2,71,3,2,2,4,255
38179,1,1,38,4,22,4,2,1,3,70
80124,0,0,483,84,398,205,84,7,8,1254
38097,1,1,77,2,35,0,1,2,2,115
72940,0,0,182,74,298,162,149,3,6,865
22070,1,0,10,7,19,8,2,2,2,46
69267,0,0,778,44,499,95,73,4,5,1489
31788,1,0,16,7,23,0,8,0,4,54
61905,0,1,167,0,43,6,2,2,4,218
29315,1,1,13,2,14,8,7,0,4,44
33378,1,1,33,6,40,3,7,0,4,89
66313,0,1,625,7,99,10,22,3,12,763
60714,0,0,216,162,224,101,92,4,10,795
77882,0,0,68,129,396,188,22,3,5,803
69867,0,0,196,0,512,33,130,5,8,871
63841,0,1,635,15,100,20,7,3,9,777
24480,1,0,4,19,9,28,25,0,4,85
51369,0,1,297,7,79,0,11,2,4,394
37760,0,0,84,5,38,150,12,1,6,289
65640,0,1,204,7,149,20,15,1,8,395
44319,1,1,26,0,8,0,0,0,3,34
30631,1,0,15,6,20,4,5,1,2,50
75278,0,0,304,98,230,150,74,3,13,856
50898,1,1,285,28,242,55,114,2,12,724
79946,0,0,395,183,565,166,141,11,5,1450
35416,0,0,248,3,81,4,3,1,5,339
32414,0,0,20,6,5,0,9,0,3,40
38361,1,0,39,0,56,20,8,1,3,123
82497,0,0,777,129,573,216,21,7,9,1716
16626,2,0,8,3,22,21,1,0,3,55
29672,1,1,9,1,3,0,4,0,3,17
55951,0,1,1241,0,80,0,13,6,11,1334
35388,1,0,6,4,7,4,3,0,3,24
42386,1,0,65,4,16,0,4,0,3,89
68627,0,0,395,15,263,60,54,3,6,787
57912,0,1,801,0,80,0,0,3,12,881
35246,1,1,36,0,12,2,2,1,3,52
58821,0,1,513,14,154,19,0,2,9,700
46377,1,0,37,0,46,4,3,1,3,90
39747,1,0,80,15,93,20,13,1,4,221
23976,1,0,14,1,21,2,3,1,3,41
80950,0,0,525,147,112,219,147,7,9,1150
27038,0,0,1,26,25,17,23,0,3,92
77457,0,0,675,11,400,15,45,5,10,1146
64100,0,1,509,0,27,0,0,3,6,536
42670,0,0,154,2,46,20,4,2,4,226
12571,1,0,3,5,14,2,12,1,3,36
22574,2,1,25,0,8,2,0,0,3,35
70893,0,0,768,44,561,77,44,6,10,1494
54198,1,1,185,0,28,3,2,1,6,218
28839,1,1,24,0,7,0,0,0,3,31
40321,1,1,44,4,21,6,0,0,3,75
66503,1,0,91,64,128,65,3,3,6,351
30833,1,1,11,0,7,3,1,0,3,22
64795,0,1,412,5,119,38,29,3,12,603
34421,1,0,3,3,7,6,2,0,2,21
47025,1,1,16,0,3,0,0,0,2,19
64325,0,1,731,60,353,78,12,3,5,1234
40464,0,1,424,17,118,7,23,2,8,589
62187,0,0,792,0,275,45,45,8,5,1157
14849,1,0,21,2,28,3,2,0,4,56
27255,1,0,22,1,11,0,1,0,3,35
54432,2,1,33,0,5,0,0,0,3,38
29999,1,0,68,7,59,10,5,1,4,149
24072,1,0,9,1,6,3,0,0,2,19
33996,0,0,40,2,15,8,0,1,3,65
66334,0,1,909,11,218,0,0,3,5,1138
35178,1,0,23,1,13,2,2,1,2,41
22010,1,0,11,2,9,3,0,0,3,25
62204,0,2,317,46,247,151,46,5,12,807
75693,0,0,797,153,293,72,97,4,6,1412
30675,1,0,10,2,16,11,2,0,3,41
83003,0,0,856,61,570,40,25,6,8,1552
68655,0,0,456,19,832,75,118,5,11,1500
41411,0,0,37,32,38,11,3,1,4,121
55212,0,1,1103,0,45,0,0,2,11,1148
59292,0,1,378,14,68,19,14,5,8,493
27190,1,0,1,6,7,0,1,0,2,15
82623,0,0,204,34,204,172,153,9,4,767
44300,1,1,30,0,9,0,0,0,3,39
84835,0,0,189,104,379,111,189,4,6,972
30372,1,1,15,0,12,7,3,0,3,37
33181,1,0,9,0,3,0,0,0,2,12
71113,0,1,495,33,255,11,33,7,9,827
71952,1,0,656,80,455,52,107,4,8,1350
69759,0,0,452,20,514,13,30,6,5,1029
72099,0,0,546,91,410,119,0,4,10,1166
60000,0,1,1048,0,217,0,0,3,5,1265
38643,1,1,22,2,14,0,1,0,3,39
50737,0,1,78,0,11,0,0,0,4,89
68462,0,0,561,64,785,84,128,3,8,1622
65073,0,0,629,17,177,69,0,3,5,892
46681,0,2,269,15,69,15,19,6,4,387
78618,0,0,736,163,818,212,163,7,10,2092
62187,0,1,512,0,83,0,0,2,10,595
28442,2,0,19,3,10,11,8,1,4,51
37717,1,0,9,0,6,4,1,0,2,20
51479,1,1,247,8,160,6,8,3,6,429
54803,0,1,404,0,92,28,27,2,9,551
79530,0,0,333,0,815,129,42,10,11,1319
31615,1,0,2,3,20,6,11,0,3,42
72025,0,0,833,33,549,151,133,3,8,1699
52614,0,1,789,0,142,12,9,4,8,952
35684,1,0,10,4,7,0,6,0,3,27
48178,1,1,159,4,45,6,2,1,4,216
29548,1,0,7,1,6,3,1,1,2,18
63810,0,1,977,12,253,16,12,3,12,1270
38578,1,1,38,4,22,3,3,0,3,70
46098,1,1,57,0,27,0,0,2,2,84
22585,0,0,3,9,15,13,2,1,2,42
30279,1,0,10,4,14,4,4,0,3,36
66426,0,1,1043,24,97,32,24,5,10,1220
30822,1,0,3,9,13,2,12,0,3,39
33581,2,0,11,0,5,0,0,0,2,16
19986,1,0,3,6,5,0,2,0,3,16
27421,0,0,43,12,96,78,40,1,6,269
35688,2,1,73,3,90,12,1,1,4,179
36143,1,0,12,0,1,0,0,1,2,13
10245,1,0,4,7,7,6,4,2,2,28
43795,0,1,314,11,53,4,3,3,4,385
63381,0,1,571,50,142,33,50,5,13,846
38823,0,1,70,0,11,2,8,1,3,91
83664,1,1,866,21,151,28,21,2,12,1087
90300,0,0,594,134,786,33,134,6,8,1681
62499,1,0,140,4,61,0,13,1,6,218
74293,0,0,375,152,335,93,91,4,6,1046
51012,0,0,102,9,63,2,9,1,4,185
70777,0,1,554,35,113,0,7,3,12,709
68682,0,0,919,0,505,99,30,9,10,1553
43824,1,1,96,1,42,12,3,1,4,154
15345,1,0,5,2,16,3,2,1,2,28
23442,1,0,2,0,6,8,6,0,3,22
14515,1,0,6,4,9,6,36,2,3,61
31395,1,1,23,1,25,0,8,1,3,57
75276,0,0,610,105,125,137,42,4,9,1019
42373,1,1,67,5,61,3,8,1,5,144
30507,0,0,65,36,74,38,20,1,4,233
55521,1,2,416,0,26,0,0,3,6,442
48006,1,1,23,0,11,3,2,0,3,39
27213,1,0,19,3,26,10,9,0,4,67
65808,1,1,155,7,80,13,7,1,5,262
30351,1,0,14,0,24,3,3,0,2,44
50437,0,2,370,9,92,6,9,1,8,486
23616,1,0,4,22,11,3,7,0,3,47
53858,0,1,407,53,221,58,150,3,6,889
66465,0,1,1200,0,204,38,29,9,12,1471
46923,1,0,85,44,54,102,78,1,7,363
75072,0,1,583,34,309,0,22,4,8,948
75865,0,0,483,0,591,156,0,5,10,1230
19789,1,0,2,5,9,28,6,1,3,50
80134,0,0,966,26,282,52,26,7,11,1352
91065,0,0,822,114,108,179,137,9,9,1360
49505,1,1,604,0,100,19,0,2,8,723
37401,1,0,19,3,19,3,1,0,3,45
30096,1,0,5,3,11,12,5,0,3,36
18492,1,0,2,2,2,2,1,0,2,9
82584,0,0,1076,68,103,29,91,4,8,1367
93027,0,0,1285,42,716,55,0,10,5,2098
48686,1,2,10,0,7,2,0,0,2,19
92910,0,0,551,137,792,179,103,7,13,1762
75433,1,0,800,0,297,0,34,5,10,1131
10404,1,0,2,2,11,10,6,0,4,31
61314,0,1,378,0,189,97,172,5,12,836
84865,0,0,1248,16,349,43,16,4,9,1672
42387,1,0,235,0,235,19,4,1,7,493
67309,1,1,515,47,181,149,95,6,9,987
75236,0,1,438,66,400,12,38,3,13,954
30015,1,0,25,0,22,2,3,0,4,52
50943,0,1,31,0,7,2,0,0,3,40
67272,0,1,357,35,271,28,28,2,12,719
51529,0,1,400,4,35,6,0,1,5,445
32011,1,0,99,0,15,2,1,1,4,117
7500,1,0,1,11,5,4,6,0,3,27
28691,1,0,5,4,13,8,0,0,3,30
56223,0,1,77,28,31,16,0,1,5,152
18100,0,0,3,1,2,4,3,0,3,13
30279,1,0,10,4,14,4,4,0,3,36
20130,0,0,0,6,3,7,6,0,3,22
23295,0,0,0,0,1,2,12,0,2,15
42618,1,0,76,14,74,13,5,0,4,182
81246,0,0,398,190,537,61,156,5,7,1342
24027,1,0,14,7,11,11,0,0,3,43
55707,0,1,208,7,82,30,66,2,9,393
57959,0,1,430,16,322,43,24,7,11,835
56796,0,1,656,38,161,62,47,9,7,964
36230,1,0,14,2,30,8,2,0,4,56
70829,1,1,141,70,106,72,19,2,8,408
65991,0,1,507,19,364,25,47,5,10,962
38988,1,2,164,24,103,12,3,1,6,306
89572,0,0,606,24,974,197,194,7,9,1995
